Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,61787,0.0,0.3162,19538,0.0372,18811,1.0267,,60178,0.3247,,,,Historical calendar year
2022,81529,0.3195,0.3802,30997,0.0301,30064,1.0146,19459,80359,0.3857,18828,,,Historical calendar year
2023,51065,-0.3737,0.1005,5133,0.1041,4599,0.7325,-41587,69709,0.0736,15302,,,Historical calendar year
2024,55482,0.0865,0.139,7713,0.0857,7052,0.7521,5873,73774,0.1045,7511,,,Historical calendar year
2025,56448,0.0174,,,0.0868,,0.7862,1229,71799,,,,,Historical ttm
2025,50121,-0.1121,0.139,6968,0.0868,6363,1.429,0,71799,0.097,6363,0.9227,5871,Projected calendar year
2026,45183,-0.0985,0.139,6281,0.0868,5736,2.0717,0,71799,0.0875,5736,0.8513,4884,Projected calendar year
2027,40245,-0.1093,0.139,5595,0.0868,5109,2.7145,0,71799,0.0779,5109,0.7855,4014,Projected calendar year
2028,35307,-0.1227,0.139,4908,0.0868,4482,3.3572,0,71799,0.0684,4482,0.7248,3249,Projected calendar year
2029,30369,-0.1399,0.139,4222,0.0868,3856,4.0,0,71799,0.0588,3856,0.6688,2578,Projected calendar year
,,0.025,,,,,,,,,67219,0.6688,44953,Terminal value
