Year,Revenue (M),growth_rate,operating_margin,EBIT (M),effective_tax_rate,nopat (M),sales_to_capital,reinvest (M),capital_invested (M),ROCE,FCFF (M),discount_factor,pv (M),Type
2021,61787,0.0,0.3162,19538,0.0372,18811,1.0267,,60178,0.3247,,,,Historical calendar year
2022,81529,0.3195,0.3802,30997,0.0301,30064,1.0146,19459,80359,0.3857,18828,,,Historical calendar year
2023,51065,-0.3737,0.1005,5133,0.1041,4599,0.7325,-41587,69709,0.0736,15302,,,Historical calendar year
2024,55482,0.0865,0.139,7713,0.0857,7052,0.7521,5873,73774,0.1045,7511,,,Historical calendar year
2025,56448,0.0174,,,0.0868,,0.7862,1229,71799,,,,,Historical ttm
2025,50024,-0.0984,0.139,6954,0.0868,6351,1.1076,0,71799,0.0969,6351,0.9227,5860,Projected calendar year
2026,45788,-0.0847,0.139,6365,0.0868,5813,1.429,0,71799,0.0887,5813,0.8513,4949,Projected calendar year
2027,42539,-0.071,0.139,5914,0.0868,5401,1.7503,0,71799,0.0824,5401,0.7855,4242,Projected calendar year
2028,40104,-0.0573,0.139,5575,0.0868,5091,2.0717,0,71799,0.0776,5091,0.7248,3690,Projected calendar year
2029,38358,-0.0435,0.139,5332,0.0868,4870,2.3931,0,71799,0.0743,4870,0.6688,3257,Projected calendar year
2030,37213,-0.0298,0.139,5173,0.0868,4724,2.7145,0,71799,0.0721,4724,0.6171,2915,Projected calendar year
2031,36613,-0.0161,0.139,5090,0.0868,4648,3.0359,0,71799,0.0709,4648,0.5693,2646,Projected calendar year
2032,36525,-0.0024,0.139,5078,0.0868,4637,3.3572,0,71799,0.0707,4637,0.5253,2436,Projected calendar year
2033,36937,0.0113,0.139,5135,0.0868,4689,3.6786,112,71911,0.0714,4577,0.4847,2219,Projected calendar year
2034,37861,0.025,0.139,5263,0.0868,4807,4.0,231,72142,0.073,4576,0.4472,2046,Projected calendar year
,,0.025,,,,,,,,,79775,0.4472,35678,Terminal value
