Year,FCFF,growth_rate,PV,Discount Factor,Type
2021,102435000000.0,0.0,,,Historical calendar year
2022,99333000000.0,-0.030282618245716764,,,Historical calendar year
2023,104697000000.0,0.05400018120866168,,,Historical calendar year
2024,91814000000.0,-0.12305032617935563,,,Historical calendar year
2025,107059000000.0,0.1660422157840853,,,Historical ttm
2025,103874294079.17227,-0.029747204072779802,95014024267.48576,0.9147019973494763,Projected calendar year
2026,101416193941.49078,-0.02366418139802649,84852875179.86943,0.8366797439551213,Projected calendar year
2027,99633179738.69518,-0.017581158723273177,76250531113.76575,0.765312632937598,Projected calendar year
2028,98487583883.11302,-0.011498136048519864,68944558212.08598,0.7000329939448076,Projected calendar year
2029,97954262450.47762,-0.005415113373766555,62722227881.76764,0.6403215777718493,Projected calendar year
2030,98019687013.43958,0.0006679093009867541,57410466512.34202,0.5857034261338787,Projected calendar year
2031,98681411252.75064,0.006750931975740063,52867983240.49936,0.5357440937390903,Projected calendar year
2032,99947884009.61513,0.012833954650493383,48979080018.470825,0.49004619261133103,Projected calendar year
2033,101838595865.1314,0.018916977325246692,45648766784.70832,0.44824623117509066,Projected calendar year
2034,104384560761.75967,0.025,42798893608.37596,0.41001172296023053,Projected calendar year
,1567628955387.0994,0.025,642746248960.611,0.41001172296023053,Terminal value
