Year,variable,method,value,parameter_value,growth_rate
2025,Revenue,cagr,54458652619.82966,-0.0352421233731991,-0.0352421233731991
2026,Revenue,cagr,52539414065.46343,-0.0352421233731991,-0.0352421233731991
2027,Revenue,cagr,50687813553.01278,-0.0352421233731991,-0.0352421233731991
2028,Revenue,cagr,48901467374.25979,-0.0352421233731991,-0.0352421233731991
2029,Revenue,cagr,47178075827.92565,-0.0352421233731991,-0.0352421233731991
2030,Revenue,cagr,45515420259.08775,-0.0352421233731991,-0.0352421233731991
2031,Revenue,cagr,43911360202.933975,-0.0352421233731991,-0.0352421233731991
2032,Revenue,cagr,42363830629.17719,-0.0352421233731991,-0.0352421233731991
2033,Revenue,cagr,40870839283.58242,-0.0352421233731991,-0.0352421233731991
2034,Revenue,cagr,39430464123.18422,-0.0352421233731991,-0.0352421233731991
2025,Revenue,slope,50121000000.0,-4937900000.0,-0.11208545918367352
2026,Revenue,slope,45183100000.0,-4937900000.0,-0.09851958261008364
2027,Revenue,slope,40245200000.0,-4937900000.0,-0.10928643674294147
2028,Revenue,slope,35307300000.0,-4937900000.0,-0.1226953773369247
2029,Revenue,slope,30369400000.0,-4937900000.0,-0.13985493084999423
2030,Revenue,slope,25431500000.0,-4937900000.0,-0.16259458533919013
2031,Revenue,slope,20493600000.0,-4937900000.0,-0.1941647169848416
2032,Revenue,slope,15555700000.0,-4937900000.0,-0.24094839364484522
2033,Revenue,slope,10617800000.0,-4937900000.0,-0.3174334809748195
2034,Revenue,slope,5679900000.0,-4937900000.0,-0.4650586750550961
2025,Revenue,man_inp_growth,60399360000.0,0.07,0.07
2026,Revenue,man_inp_growth,64627315200.0,0.07,0.07
2027,Revenue,man_inp_growth,69151227264.0,0.07,0.07
2028,Revenue,man_inp_growth,73991813172.48001,0.07,0.07
2029,Revenue,man_inp_growth,79171240094.55362,0.07,0.07
2030,Revenue,man_inp_growth,84713226901.17238,0.07,0.07
2031,Revenue,man_inp_growth,90643152784.25446,0.07,0.07
2032,Revenue,man_inp_growth,96988173479.15227,0.07,0.07
2033,Revenue,man_inp_growth,103777345622.69293,0.07,0.07
2034,Revenue,man_inp_growth,111041759816.28145,0.07,0.07
2025,effective_tax_rate,5,0.08676433442788584,,0.0
2026,effective_tax_rate,5,0.08676433442788584,,0.0
2027,effective_tax_rate,5,0.08676433442788584,,0.0
2028,effective_tax_rate,5,0.08676433442788584,,0.0
2029,effective_tax_rate,5,0.08676433442788584,,0.0
2025,effective_tax_rate,10,0.08676433442788584,,0.0
2026,effective_tax_rate,10,0.08676433442788584,,0.0
2027,effective_tax_rate,10,0.08676433442788584,,0.0
2028,effective_tax_rate,10,0.08676433442788584,,0.0
2029,effective_tax_rate,10,0.08676433442788584,,0.0
2030,effective_tax_rate,10,0.08676433442788584,,0.0
2031,effective_tax_rate,10,0.08676433442788584,,0.0
2032,effective_tax_rate,10,0.08676433442788584,,0.0
2033,effective_tax_rate,10,0.08676433442788584,,0.0
2034,effective_tax_rate,10,0.08676433442788584,,0.0
2025,effective_tax_rate,cagr,0.0997789845920687,0.15,0.15
2026,effective_tax_rate,cagr,0.11474583228087899,0.15,0.15
2027,effective_tax_rate,cagr,0.13195770712301083,0.15,0.15
2028,effective_tax_rate,cagr,0.15175136319146246,0.15,0.15
2029,effective_tax_rate,cagr,0.17451406767018182,0.15,0.15
2030,effective_tax_rate,cagr,0.20069117782070908,0.15,0.15
2031,effective_tax_rate,cagr,0.23079485449381543,0.15,0.15
2032,effective_tax_rate,cagr,0.26541408266788774,0.15,0.15
2033,effective_tax_rate,cagr,0.30522619506807086,0.15,0.15
2034,effective_tax_rate,cagr,0.35101012432828144,0.15,0.15
2025,effective_tax_rate,slope,0.1191145860231941,0.021938231737436004,0.37285195361230095
2026,effective_tax_rate,slope,0.1410528177606301,0.021938231737436004,0.18417754256530916
2027,effective_tax_rate,slope,0.1629910494980661,0.021938231737436004,0.15553203463588838
2028,effective_tax_rate,slope,0.18492928123550212,0.021938231737436004,0.13459776966278336
2029,effective_tax_rate,slope,0.2068675129729381,0.021938231737436004,0.11863038449545615
2030,effective_tax_rate,slope,0.22880574471037413,0.021938231737436004,0.10604967122269193
2031,effective_tax_rate,slope,0.2507439764478101,0.021938231737436004,0.09588147257930846
2032,effective_tax_rate,slope,0.27268220818524613,0.021938231737436004,0.08749255734166073
2033,effective_tax_rate,slope,0.2946204399226821,0.021938231737436004,0.0804534769005989
2034,effective_tax_rate,slope,0.31655867166011814,0.021938231737436004,0.07446269424888952
2025,effective_tax_rate,man_inp_growth,0.09283783783783785,0.07,0.07
2026,effective_tax_rate,man_inp_growth,0.0993364864864865,0.07,0.07
2027,effective_tax_rate,man_inp_growth,0.10629004054054057,0.07,0.07
2028,effective_tax_rate,man_inp_growth,0.11373034337837842,0.07,0.07
2029,effective_tax_rate,man_inp_growth,0.12169146741486492,0.07,0.07
2030,effective_tax_rate,man_inp_growth,0.13020987013390548,0.07,0.07
2031,effective_tax_rate,man_inp_growth,0.13932456104327887,0.07,0.07
2032,effective_tax_rate,man_inp_growth,0.1490772803163084,0.07,0.07
2033,effective_tax_rate,man_inp_growth,0.15951268993845,0.07,0.07
2034,effective_tax_rate,man_inp_growth,0.1706785782341415,0.07,0.07
2025,operating_margin,5,0.1390180599113226,,0.0
2026,operating_margin,5,0.1390180599113226,,0.0
2027,operating_margin,5,0.1390180599113226,,0.0
2028,operating_margin,5,0.1390180599113226,,0.0
2029,operating_margin,5,0.1390180599113226,,0.0
2025,operating_margin,10,0.1390180599113226,,0.0
2026,operating_margin,10,0.1390180599113226,,0.0
2027,operating_margin,10,0.1390180599113226,,0.0
2028,operating_margin,10,0.1390180599113226,,0.0
2029,operating_margin,10,0.1390180599113226,,0.0
2030,operating_margin,10,0.1390180599113226,,0.0
2031,operating_margin,10,0.1390180599113226,,0.0
2032,operating_margin,10,0.1390180599113226,,0.0
2033,operating_margin,10,0.1390180599113226,,0.0
2034,operating_margin,10,0.1390180599113226,,0.0
2025,sales_to_capital,5,1.4289558350394853,,0.8175595238095239
